
SetupTitle, Transfer Curve - Back Gate
PrimitiveTest, I/V Sweep
TestParameter, Context.MainFrame, B1500A
TestParameter, Channel.UnitType, SMU, SMU, SMU
TestParameter, Channel.Unit, SMU1:HR/AS, SMU4:HR/AS, SMU6:MP
TestParameter, Channel.IName, Id, Is, Ig
TestParameter, Channel.VName, Vd, Vs, Vg
TestParameter, Channel.Mode, V, V, V
TestParameter, Channel.Func, CONST, CONST, VAR1
TestParameter, Channel.Index, 
TestParameter, Channel.Time, 
TestParameter, Measurement.Port.Unit, SMU1:HR/AS, SMU4:HR/AS, SMU6:MP
TestParameter, Measurement.Port.SeriesResistor, NONE, NONE, NONE
TestParameter, Measurement.Port.Filter, ON, ON, ON
TestParameter, Measurement.Port.OutputVoltageComparison, 0, 0, 0
TestParameter, Measurement.Primary.Locus, Single
TestParameter, Measurement.Primary.Scale, LINEAR
TestParameter, Measurement.Primary.Start, -40
TestParameter, Measurement.Primary.Stop, 40
TestParameter, Measurement.Primary.Step, 0.5
TestParameter, Measurement.Primary.Compliance, 1E-05
TestParameter, Measurement.Primary.PowerCompliance, 0
TestParameter, Measurement.Aborting.Condition, CONTINUE AT ANY
TestParameter, Measurement.PostOutput.Value, START
TestParameter, Measurement.PostOutput.Retention, OFF
TestParameter, Measurement.Bias.Source, -1, 0, -40
TestParameter, Measurement.Bias.Compliance, 1E-05, 1E-05, 1E-05
TestParameter, Measurement.Monitor.Unit, SMU1:HR/AS, SMU4:HR/AS, SMU6:MP
TestParameter, Measurement.Monitor.Adc, HR ADC, HR ADC, HR ADC
TestParameter, Measurement.Monitor.Measurement, Compliance Side, Compliance Side, Compliance Side
TestParameter, Measurement.Monitor.RangingMode, AUTO, AUTO, FIXED
TestParameter, Measurement.Monitor.RangeBoundary, , , 10nA
TestParameter, Measurement.Monitor.RangeRating, BY FULL RANGE, BY FULL RANGE, 
TestParameter, Measurement.Monitor.RangeRatingCoeff, 50, 50, 50
TestParameter, Measurement.Timing.Hold, 2
TestParameter, Measurement.Timing.Delay, 0
